"","usernames","scores"
"1","Obscure_Rebel",0.5
"2","andrewocoker",0.5
"3","SophiaLamar1",0.5
"4","Modmother",0.5
"5","ClodaghSister",0.5
"6","templeweste",0.5
"7","giuliag",0.5
"8","jphoganorg",0.5
"9","xseasniperx",0.5
"10","ChangingWindsMO",0.5
"11","AP_Doramaqueen",0.5
"12","Auggy806",0.6
"13","ViidarUkonpoika",0.6
"14","chillin662",0.6
"15","EthnoPluralist",0.7
"16","Moonshi84280504",0.7
"17","PeterMerlinCane",0.7
"18","IamTagiCTyronce",0.8
"19","GeoKnight64",0.9
"20","DiabeticCyborgg",0.9
"21","SammyRosario13",1
"22","Whatsinaname666",1
"23","StopandThinkNe1",1
"24","WeThePeopleSOS",1
"25","MrTone20",1
"26","wesedmund",1
"27","BlkFreeThinkers",1.1
"28","WhiteBastion",1.1
"29","TKNConfessions",1.1
"30","chrisoldcorn",1.3
"31","MasterSnugs",1.5
"32","Natasha20688798",1.7
"33","showsumlove18",1.8
